startup_name,founded_year,country,industry,fundin_stage,total_funding ($M),employees,annual_revenue ($M),valuation ($B),acquired,IPO,customer_base (M)
Startup_1,2009,Canada,Healthcare,Series A,269,3047,104,46.11,No,No,43
Startup_2,2004,UK,Healthcare,IPO,40,630,431,33.04,No,Yes,64
Startup_3,2018,USA,Healthcare,Seed,399,2475,375,15.79,No,No,74
Startup_4,2014,France,Tech,Seed,404,1011,907,17.12,Yes,Yes,26
Startup_5,2006,Japan,Energy,Series C,419,3917,280,4.39,Yes,Yes,30
Startup_6,2017,UK,FinTech,Series B,468,172,430,34.16,No,No,88
Startup_7,2014,China,Gaming,Series C,166,2614,548,16.55,Yes,No,88
Startup_8,2018,Australia,EdTech,Series B,261,747,73,0.17,No,Yes,62
Startup_9,2006,Canada,AI,Series B,172,4387,324,1.94,Yes,Yes,90
Startup_10,2004,USA,E-commerce,Series A,113,873,925,11.22,No,No,63
Startup_11,2011,Brazil,Gaming,Series B,42,4233,12,38.93,Yes,No,21
Startup_12,2020,UK,Energy,Series A,346,4704,853,22.84,Yes,Yes,3
Startup_13,2002,France,EdTech,IPO,134,4347,752,36.99,Yes,No,75
Startup_14,2022,Canada,Gaming,Series A,71,1234,334,3.7,Yes,No,56
Startup_15,2004,Australia,EdTech,Series B,290,2773,361,32.66,Yes,No,45
Startup_16,2017,India,Gaming,Series C,177,3585,576,28.47,Yes,Yes,37
Startup_17,2017,France,E-commerce,IPO,183,1968,95,27.29,Yes,No,33
Startup_18,2010,India,FinTech,Series C,427,4362,668,32.54,Yes,No,2
Startup_19,2020,India,Energy,Series C,267,995,105,42.96,No,Yes,18
Startup_20,2008,Japan,Gaming,IPO,156,1307,834,19.75,No,No,71
Startup_21,2001,Australia,FinTech,Series A,441,470,253,5.67,Yes,Yes,63
Startup_22,2011,France,AI,Series C,344,1517,143,13.32,Yes,Yes,17
Startup_23,2016,UK,FinTech,Series C,173,4242,763,39.2,Yes,No,3
Startup_24,2009,USA,AI,Seed,292,982,701,35.2,No,Yes,58
Startup_25,2001,Brazil,E-commerce,Seed,94,2614,858,13.86,No,No,67
Startup_26,2019,Australia,Gaming,Seed,15,4449,390,17.82,No,Yes,64
Startup_27,2009,Australia,EdTech,Series B,281,929,148,16.18,Yes,No,31
Startup_28,2007,China,AI,Series B,318,3707,145,40.77,No,Yes,58
Startup_29,2015,Germany,Gaming,Seed,54,3489,348,1.89,Yes,No,73
Startup_30,2018,France,Energy,Seed,170,3377,96,49.77,Yes,No,25
Startup_31,2007,Brazil,Gaming,Series A,243,3292,987,45.29,No,Yes,4
Startup_32,2016,Canada,FinTech,Series A,296,1705,118,38.13,No,No,1
Startup_33,2021,Germany,Energy,Series B,355,4799,792,31.14,No,Yes,73
Startup_34,2016,Australia,FinTech,Series B,309,396,347,22.09,No,Yes,93
Startup_35,2009,Germany,EdTech,Series A,38,3543,734,22.36,No,No,40
Startup_36,2010,Canada,E-commerce,Seed,251,3790,194,20.23,Yes,No,71
Startup_37,2021,Australia,EdTech,Series A,262,1520,902,26.47,Yes,Yes,99
Startup_38,2016,UK,EdTech,Series C,493,4514,874,43.55,Yes,Yes,80
Startup_39,2006,China,Tech,Series B,466,4013,205,27.11,Yes,No,64
Startup_40,2014,France,Gaming,Series C,309,935,966,38.49,Yes,No,57
Startup_41,2001,UK,Tech,Series C,85,3916,766,20.26,No,Yes,64
Startup_42,2002,China,Healthcare,Series A,495,86,188,37.09,Yes,No,93
Startup_43,2001,Brazil,Energy,IPO,301,2200,877,19.29,No,No,61
Startup_44,2011,UK,Gaming,Series C,356,3943,476,1.36,Yes,Yes,65
Startup_45,2011,Brazil,AI,Series B,321,2600,834,13.23,Yes,Yes,83
Startup_46,2020,Brazil,FinTech,Series C,86,1418,675,25.97,No,No,5
Startup_47,2021,Japan,Energy,IPO,80,3422,625,25.69,Yes,No,1
Startup_48,2015,Canada,Healthcare,Seed,462,14,955,20.06,No,No,59
Startup_49,2017,Japan,Gaming,Series B,281,2016,715,38.01,No,No,38
Startup_50,2015,USA,FoodTech,Series B,307,775,854,8.69,Yes,No,76
Startup_51,2009,Japan,FinTech,Series A,116,1514,298,31.8,No,No,7
Startup_52,2013,UK,Gaming,IPO,434,2714,632,8.1,Yes,No,40
Startup_53,2006,Japan,EdTech,IPO,127,895,267,40.45,Yes,Yes,19
Startup_54,2019,UK,Energy,IPO,328,1230,30,26.88,No,Yes,42
Startup_55,2002,Japan,FinTech,Seed,42,1272,532,30.48,No,Yes,62
Startup_56,2004,Australia,Logistics,IPO,456,3426,948,15.82,Yes,No,80
Startup_57,2003,Japan,Gaming,Seed,113,546,897,40.3,No,No,40
Startup_58,2018,Brazil,Logistics,Series A,53,1557,3,12.92,No,No,65
Startup_59,2000,India,FoodTech,Series C,218,1968,913,10.88,No,No,98
Startup_60,2015,Brazil,Logistics,Series C,325,3077,755,32.09,No,Yes,6
Startup_61,2011,Japan,E-commerce,Series B,484,2334,312,43.74,Yes,No,39
Startup_62,2013,India,Gaming,Series B,156,4838,154,44.17,No,Yes,25
Startup_63,2011,USA,FinTech,Series A,119,4647,313,44.38,Yes,No,64
Startup_64,2018,UK,Tech,Series A,259,4376,647,2.24,Yes,No,96
Startup_65,2007,Brazil,Gaming,IPO,157,2333,241,40.23,Yes,No,60
Startup_66,2017,Australia,Logistics,Series A,86,1676,668,13.17,Yes,Yes,2
Startup_67,2013,France,FoodTech,Series C,482,4873,506,25.53,No,Yes,14
Startup_68,2020,China,Logistics,Seed,424,1531,130,28.64,No,Yes,16
Startup_69,2010,Germany,E-commerce,Series A,147,3371,308,28.29,No,No,6
Startup_70,2013,France,Gaming,Series B,222,1639,597,19.06,No,Yes,15
Startup_71,2009,Brazil,FinTech,IPO,370,860,784,43.03,No,Yes,48
Startup_72,2008,India,E-commerce,Series C,14,4705,340,6.57,Yes,Yes,80
Startup_73,2011,USA,E-commerce,Series B,455,168,612,9.67,No,Yes,11
Startup_74,2007,France,Healthcare,Series A,300,1471,599,1.85,No,No,20
Startup_75,2017,Japan,FoodTech,Seed,1,4353,738,41.18,Yes,Yes,64
Startup_76,2000,Japan,E-commerce,Seed,62,2824,108,16,Yes,No,3
Startup_77,2012,Canada,EdTech,Series B,267,4643,919,3.76,Yes,No,12
Startup_78,2013,India,E-commerce,Seed,189,2927,229,44.39,Yes,Yes,24
Startup_79,2005,Brazil,Healthcare,Series A,438,1518,868,19.96,Yes,No,43
Startup_80,2002,China,AI,Series C,113,428,554,27.5,No,Yes,56
Startup_81,2021,UK,FoodTech,IPO,218,2288,679,23.91,No,Yes,91
Startup_82,2005,China,E-commerce,Series A,96,4050,656,17.14,No,Yes,66
